,value,metric,type
213,0.030608606906823776,fde,best_of
214,1.0598605596113493,fde,best_of
215,1.2474193306870889,fde,best_of
216,0.014767633240470052,fde,best_of
217,0.014116167624182817,fde,best_of
218,0.13065331160522914,fde,best_of
219,0.5290885623311924,fde,best_of
220,0.014970952708793294,fde,best_of
221,0.0600899883022409,fde,best_of
222,0.5402428363352837,fde,best_of
223,0.5633275383046016,fde,best_of
224,0.13359457636748368,fde,best_of
225,0.017809319757681855,fde,best_of
226,1.4657081321673477,fde,best_of
227,0.9359113262197885,fde,best_of
228,0.07951583923284587,fde,best_of
229,0.013794685231639299,fde,best_of
230,1.4668857977154661,fde,best_of
231,1.7521838521825193,fde,best_of
232,0.057440422998559164,fde,best_of
233,0.03053257250308245,fde,best_of
234,1.338316447828285,fde,best_of
235,1.4735426939523035,fde,best_of
236,0.15809314712423445,fde,best_of
237,0.040402821552770495,fde,best_of
238,0.275911306338885,fde,best_of
239,0.4030234151076304,fde,best_of
240,1.4105349725196579,fde,best_of
241,0.2612740460615771,fde,best_of
242,0.027273836975587728,fde,best_of
243,0.4107639125783599,fde,best_of
244,0.16486821779497707,fde,best_of
245,0.24831399170935886,fde,best_of
246,0.058822682013559384,fde,best_of
247,0.323283841817519,fde,best_of
248,0.08963249706552122,fde,best_of
249,0.23323502431253149,fde,best_of
250,0.04883035692346709,fde,best_of
251,1.0741351679955138,fde,best_of
252,0.6113764747595082,fde,best_of
253,0.030498525409230943,fde,best_of
254,0.008836013340234579,fde,best_of
255,0.38393725457424643,fde,best_of
256,0.39058442495257945,fde,best_of
257,0.13266523396936333,fde,best_of
258,0.022455681142350283,fde,best_of
259,0.8512043704816178,fde,best_of
260,0.5776667187232505,fde,best_of
261,0.006295861686750698,fde,best_of
262,0.01138711877956612,fde,best_of
263,0.43280025759033397,fde,best_of
264,0.4448311947146808,fde,best_of
265,0.023644333714543227,fde,best_of
266,0.02216262861061699,fde,best_of
267,1.6359019775897423,fde,best_of
268,0.3274786786573446,fde,best_of
269,0.13552303099934407,fde,best_of
270,0.005947687960111908,fde,best_of
271,1.083202603072347,fde,best_of
272,1.410528148780364,fde,best_of
273,0.08647799765492296,fde,best_of
274,0.013421455652494571,fde,best_of
275,0.7040847631266482,fde,best_of
276,1.0268844666999906,fde,best_of
277,0.05821580765209174,fde,best_of
278,0.02604993269902835,fde,best_of
279,1.7601543840897471,fde,best_of
280,0.7608133701457637,fde,best_of
281,0.04504860985967859,fde,best_of
282,0.015495254232171605,fde,best_of
283,0.9784568543708229,fde,best_of
284,0.7418592109174119,fde,best_of
285,0.026938808527203865,fde,best_of
286,0.017881801626532978,fde,best_of
287,1.7903206403487057,fde,best_of
288,0.912562328348257,fde,best_of
289,0.8654761534868833,fde,best_of
290,0.05113819336722665,fde,best_of
291,0.01331915591837869,fde,best_of
292,1.8565098504781283,fde,best_of
293,1.8499903844406267,fde,best_of
294,0.8441059220006566,fde,best_of
295,0.02797803195094871,fde,best_of
296,0.004568906305687282,fde,best_of
297,1.6300489509860103,fde,best_of
298,1.3778264851593098,fde,best_of
299,0.35422194469336005,fde,best_of
300,0.03317697105174469,fde,best_of
301,0.06958893143774354,fde,best_of
302,1.8585507680256967,fde,best_of
303,1.5964264379918935,fde,best_of
304,0.023667186565731243,fde,best_of
305,0.004063409996636767,fde,best_of
306,1.739916586171752,fde,best_of
307,1.4369567025223626,fde,best_of
308,0.040244190791055116,fde,best_of
309,0.009504341573667242,fde,best_of
310,1.8982477294898377,fde,best_of
311,1.7329000741158571,fde,best_of
312,0.08463620537985124,fde,best_of
313,0.009506209989240759,fde,best_of
314,1.3594436323597319,fde,best_of
315,0.985130784340654,fde,best_of
316,0.04489571703476137,fde,best_of
317,0.008921427845800923,fde,best_of
318,1.5218192976011122,fde,best_of
319,1.8225179476505367,fde,best_of
320,0.05695962467469415,fde,best_of
321,0.043961243950426755,fde,best_of
322,1.843318118164217,fde,best_of
323,1.8342994146358398,fde,best_of
324,0.0390368213833815,fde,best_of
325,0.010903676892429576,fde,best_of
326,1.8611436322717194,fde,best_of
327,1.7638129566637035,fde,best_of
328,0.05380817268244092,fde,best_of
329,0.01242511476777937,fde,best_of
330,1.9731936709250442,fde,best_of
331,2.045389813355035,fde,best_of
332,0.060889712973212454,fde,best_of
333,0.007045406958867589,fde,best_of
334,1.490286960484779,fde,best_of
335,1.4296133646586762,fde,best_of
336,0.01018517548828508,fde,best_of
337,0.06675479794346294,fde,best_of
338,1.8474355235331732,fde,best_of
339,2.09197072732022,fde,best_of
340,0.03440899065153794,fde,best_of
341,0.05235946259979157,fde,best_of
342,2.043582216561775,fde,best_of
343,1.8248654294063356,fde,best_of
344,0.255881377609743,fde,best_of
345,0.1000181565544087,fde,best_of
346,0.34481586990287433,fde,best_of
347,1.1471292097538823,fde,best_of
348,0.5807193351364988,fde,best_of
349,0.5127642914309156,fde,best_of
350,0.42565800251984776,fde,best_of
351,0.25320770015339056,fde,best_of
352,0.017120618562488338,fde,best_of
